"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
406224,"02310","W0626","Koski (2310)",30-8-2007 4:51:09,30-8-2007 5:51:09,14.68,61.42,605.89,6812481.09,1440412.43,573.51,2.20,"3D",6,"Yes",3.54,3.68,19.00,2,"F"
406225,"02310","W0626","Koski (2310)",30-8-2007 4:56:58,30-8-2007 5:56:58,14.68,61.42,611.70,6812571.93,1440344.99,579.31,2.20,"3D",7,"Yes",3.52,3.68,19.00,2,"F"
406226,"02310","W0626","Koski (2310)",30-8-2007 4:58:02,30-8-2007 5:58:02,14.68,61.42,615.33,6812530.10,1440322.72,582.94,2.80,"3D",6,"Yes",3.52,3.66,19.00,2,"F"
406227,"02310","W0626","Koski (2310)",30-8-2007 4:59:09,30-8-2007 5:59:09,14.68,61.42,611.66,6812511.69,1440325.88,579.27,2.00,"3D",7,"Yes",3.54,3.68,19.00,2,"F"
406228,"02310","W0626","Koski (2310)",30-8-2007 5:00:13,30-8-2007 6:00:13,14.68,61.42,612.77,6812472.08,1440322.13,580.38,5.60,"3D",5,"Yes",3.54,3.68,19.00,2,"F"
406229,"02310","W0626","Koski (2310)",30-8-2007 5:32:39,30-8-2007 6:32:39,14.69,61.41,612.89,6812162.42,1440936.53,580.53,3.60,"2D",3,"No",3.50,3.64,17.00,2,"F"
406230,"02310","W0626","Koski (2310)",30-8-2007 6:01:22,30-8-2007 7:01:22,14.71,61.42,563.10,6812246.49,1441618.66,530.77,4.40,"3D",5,"Yes",3.54,3.64,19.00,2,"F"
406231,"02310","W0626","Koski (2310)",30-8-2007 6:31:49,30-8-2007 7:31:49,14.71,61.42,569.60,6812234.55,1441619.03,537.27,3.40,"3D",6,"Yes",3.52,3.64,20.00,2,"F"
406232,"02310","W0626","Koski (2310)",30-8-2007 7:02:04,30-8-2007 8:02:04,14.71,61.42,570.16,6812228.30,1441680.72,537.83,3.00,"3D",6,"Yes",3.52,3.62,23.00,2,"F"
406233,"02310","W0626","Koski (2310)",30-8-2007 7:31:14,30-8-2007 8:31:14,14.72,61.42,570.28,6812506.13,1442308.15,537.97,5.40,"2D",3,"No",3.54,3.62,24.00,2,"F"
406234,"02310","W0626","Koski (2310)",30-8-2007 8:01:03,30-8-2007 9:01:03,14.71,61.43,569.71,6813442.96,1441741.59,537.37,2.80,"3D",5,"Yes",3.54,3.62,18.00,2,"F"
406235,"02310","W0626","Koski (2310)",30-8-2007 8:30:39,30-8-2007 9:30:39,14.70,61.43,535.85,6813818.41,1441148.82,503.48,8.40,"3D",5,"Yes",3.54,3.62,20.00,2,"F"
406236,"02310","W0626","Koski (2310)",30-8-2007 9:02:09,30-8-2007 10:02:09,14.69,61.43,538.50,6813918.26,1440771.57,506.11,4.40,"3D",6,"Yes",3.54,3.62,22.00,2,"F"
406237,"02310","W0626","Koski (2310)",30-8-2007 9:30:08,30-8-2007 10:30:08,14.69,61.43,548.94,6813892.92,1440765.00,516.55,3.40,"3D",6,"Yes",3.58,3.62,25.00,2,"F"
406238,"02310","W0626","Koski (2310)",30-8-2007 10:02:07,30-8-2007 11:02:07,14.69,61.43,555.41,6813883.03,1440770.04,523.02,21.80,"3D",4,"No",3.56,3.64,30.00,2,"F"
406239,"02310","W0626","Koski (2310)",30-8-2007 10:31:01,30-8-2007 11:31:01,14.69,61.43,557.27,6813890.01,1440773.61,524.88,2.60,"3D",5,"Yes",3.56,3.64,29.00,2,"F"
406240,"02310","W0626","Koski (2310)",30-8-2007 11:00:29,30-8-2007 12:00:29,14.69,61.43,549.21,6814062.89,1440703.38,516.82,3.40,"3D",5,"Yes",3.56,3.62,29.00,2,"F"
406241,"02310","W0626","Koski (2310)",30-8-2007 11:31:07,30-8-2007 12:31:07,14.69,61.44,522.96,6814559.81,1440643.25,490.56,4.00,"3D",7,"Yes",3.56,3.64,25.00,2,"F"
406242,"02310","W0626","Koski (2310)",30-8-2007 12:01:13,30-8-2007 13:01:13,14.69,61.44,519.86,6814932.55,1440712.34,487.46,2.40,"3D",5,"Yes",3.56,3.64,26.00,2,"F"
406243,"02310","W0626","Koski (2310)",30-8-2007 12:31:05,30-8-2007 13:31:05,14.68,61.44,520.93,6815187.11,1440515.93,488.52,3.00,"3D",5,"Yes",3.54,3.62,26.00,2,"F"
406244,"02310","W0626","Koski (2310)",30-8-2007 13:02:11,30-8-2007 14:02:11,14.68,61.44,543.74,6815212.39,1440501.69,511.33,7.60,"3D",5,"Yes",3.54,3.62,27.00,2,"F"
